RANK,INSTNM,NPT41_PUB,NPT42_PUB,NPT43_PUB,NPT44_PUB,NPT45_PUB,NPT41_PRIV,NPT42_PRIV,NPT43_PRIV,NPT44_PRIV,NPT45_PRIV,NPT41_PROG,NPT42_PROG,NPT43_PROG,NPT44_PROG,NPT45_PROG,NPT41_OTHER,NPT42_OTHER,NPT43_OTHER,NPT44_OTHER,NPT45_OTHER,NPT4_048_PUB,NPT4_048_PRIV,NPT4_048_PROG,NPT4_048_OTHER,NPT4_3075_PUB,NPT4_3075_PRIV,NPT4_75UP_PUB,NPT4_75UP_PRIV,NPT4_3075_PROG,NPT4_3075_OTHER,NPT4_75UP_PROG,NPT4_75UP_OTHER,COSTT4_A,COSTT4_P,TUITIONFEE_IN,TUITIONFEE_OUT,TUITIONFEE_PROG,GRAD_DEBT_MDN,LO_INC_DEBT_MDN,MD_INC_DEBT_MDN,HI_INC_DEBT_MDN,COUNT_NWNE_3YR,COUNT_WNE_3YR,CNTOVER150_3YR,DBRR4_FED_UG_DEN,DBRR4_FED_UG_RT,DBRR5_FED_UG_NUM,DBRR5_FED_UG_DEN,DBRR10_FED_UG_NUM,DBRR10_FED_UG_DEN,DBRR20_FED_UG_NUM,DBRR20_FED_UG_DEN,DBRR1_FED_UGCOMP_NUM,DBRR1_FED_UGCOMP_DEN,BBRR1_FED_UGCOMP_MAKEPROG,BBRR1_FED_UGCOMP_PAIDINFULL,BBRR2_FED_UGCOMP_MAKEPROG,BBRR2_FED_UGCOMP_PAIDINFULL,MDCOST_ALL,MDEARN_PD,MD_EARN_WNE_1YR,MD_EARN_WNE_4YR,MDEARN_PD,MD_EARN_WNE_1YR,MD_EARN_WNE_4YR
39,Ohio State University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,Rutgers University-New Brunswick,13545.0,15779.0,20935.0,26914.0,29335.0,,,,,,,,,,,,,,,,14406.0,,,,18158.0,,28655.0,,,,,,30954.0,,15407.0,32189.0,,21980,19440,19500,18048,,,,,,263435905,345972939,103452940,187094027,45479376,137872359,244397500,271942852,0.35,0.12,0.35,0.17,,,49190.0,64806.0,,49190.0,64806.0
41,"University of California, Davis",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,Pennsylvania State University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,"University of Maryland, College Park",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,University of Colorado Boulder,13366.0,14361.0,18979.0,25863.0,29055.0,,,,,,,,,,,,,,,,13769.0,,,,16868.0,,28108.0,,,,,,31044.0,,12500.0,38318.0,,19500,13338,13000,13000,,,,,,79879326,112078606,38764047,73735143,28107371,74798929,57144821,62892433,0.38,0.12,0.42,0.18,,,45796.0,60811.0,,45796.0,60811.0
50,University of Southern California,,,,,,14668.0,16252.0,20050.0,30858.0,52271.0,,,,,,,,,,,,15266.0,,,,18136.0,,44564.0,,,,,74738.0,,58195.0,58195.0,,18956,17750,17500,16500,,,,,,60600127,98666548,22686544,60480269,30113450,85466380,60419513,70375932,0.39,0.17,0.39,0.23,,,57711.0,77241.0,,57711.0,77241.0
51,University of Arizona,10562.0,11466.0,15399.0,20200.0,21260.0,,,,,,,,,,,,,,,,10899.0,,,,13266.0,,20854.0,,,,,,27417.0,,12711.0,36718.0,,20137,14000,14479,14091,,,,,,144772459,167790577,63543730,95798222,54102966,106673773,112105367,117988537,0.32,0.10,0.35,0.14,,,41742.0,54540.0,,41742.0,54540.0
55,Boston University,,,,,,12903.0,13256.0,20231.0,31075.0,48048.0,,,,,,,,,,,,13037.0,,,,16988.0,,43446.0,,,,,72517.0,,55892.0,55892.0,,24848,23031,23000,21500,,,,,,74500583,117697563,25781591,72491242,15065210,68244253,73055065,84717239,0.43,0.14,0.42,0.19,,,51077.0,67398.0,,51077.0,67398.0
57,Brown University,,,,,,201.0,6684.0,11689.0,21634.0,43592.0,,,,,,,,,,,,3720.0,,,,9721.0,,38540.0,,,,,73892.0,,58404.0,58404.0,,13000,7500,10750,12950,,,,,,7998691,15296225,3875261,12258671,3679607,16914680,11340208,14557525,0.45-0.46,0.21-0.22,0.37-0.38,0.31-0.32,,,54465.0,72361.0,,54465.0,72361.0
