RANK,INSTNM,NPT41_PUB,NPT42_PUB,NPT43_PUB,NPT44_PUB,NPT45_PUB,NPT41_PRIV,NPT42_PRIV,NPT43_PRIV,NPT44_PRIV,NPT45_PRIV,NPT41_PROG,NPT42_PROG,NPT43_PROG,NPT44_PROG,NPT45_PROG,NPT41_OTHER,NPT42_OTHER,NPT43_OTHER,NPT44_OTHER,NPT45_OTHER,NPT4_048_PUB,NPT4_048_PRIV,NPT4_048_PROG,NPT4_048_OTHER,NPT4_3075_PUB,NPT4_3075_PRIV,NPT4_75UP_PUB,NPT4_75UP_PRIV,NPT4_3075_PROG,NPT4_3075_OTHER,NPT4_75UP_PROG,NPT4_75UP_OTHER,COSTT4_A,COSTT4_P,TUITIONFEE_IN,TUITIONFEE_OUT,TUITIONFEE_PROG,GRAD_DEBT_MDN,LO_INC_DEBT_MDN,MD_INC_DEBT_MDN,HI_INC_DEBT_MDN,COUNT_NWNE_3YR,COUNT_WNE_3YR,CNTOVER150_3YR,DBRR4_FED_UG_DEN,DBRR4_FED_UG_RT,DBRR5_FED_UG_NUM,DBRR5_FED_UG_DEN,DBRR10_FED_UG_NUM,DBRR10_FED_UG_DEN,DBRR20_FED_UG_NUM,DBRR20_FED_UG_DEN,DBRR1_FED_UGCOMP_NUM,DBRR1_FED_UGCOMP_DEN,BBRR1_FED_UGCOMP_MAKEPROG,BBRR1_FED_UGCOMP_PAIDINFULL,BBRR2_FED_UGCOMP_MAKEPROG,BBRR2_FED_UGCOMP_PAIDINFULL,MDCOST_ALL,MDEARN_PD,MD_EARN_WNE_1YR,MD_EARN_WNE_4YR,MDEARN_PD,MD_EARN_WNE_1YR,MD_EARN_WNE_4YR
545,Auburn University,18394.0,20326.0,24079.0,26518.0,27492.0,,,,,,,,,,,,,,,,19100.0,,,,22436.0,,27194.0,,,,,,31590.0,,11492.0,31124.0,,21500,18524,18000,16750,,,,,,78564578,100280172,33295291,62146412,20780176,60953965,70202812,74669465,0.34,0.09,0.36,0.14,,,47372.0,58894.0,,47372.0,58894.0
549,"University of Maine, Orono",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
554,Syracuse University,,,,,,17164.0,21360.0,24698.0,27922.0,46898.0,,,,,,,,,,,,18653.0,,,,23256.0,,42792.0,,,,,70390.0,,53849.0,53849.0,,26952,22250,25693,24813,,,,,,80994483,116614432,23135460,60686339,18621209,62470714,84243120,91395514,0.40,0.09,0.41,0.13,,,47113.0,65022.0,,47113.0,65022.0
557,University of Texas at Arlington,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
562,University of Alaska Fairbanks,7133.0,7341.0,10729.0,14970.0,16353.0,,,,,,,,,,,,,,,,7198.0,,,,8928.0,,15782.0,,,,,,18558.0,,7080.0,21216.0,,19582,11015,11471,10178,,,,,,33518594,34605785,12732273,17010180,5253963,8672971,11423579,11477464,0.20-0.39,<=0.20,0.20-0.39,<=0.20,,,46661.0,50963.0,,46661.0,50963.0
566,University of Arkansas - Fayetteville,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
567,Baylor University,,,,,,26726.0,29849.0,31343.0,35300.0,42722.0,,,,,,,,,,,,27980.0,,,,30720.0,,40691.0,,,,,62913.0,,47364.0,47364.0,,23550,20826,21000,19500,,,,,,68852791,89018753,26591199,53495141,15061702,43293839,62791807,69112000,0.32,0.13,0.34,0.16,,,46390.0,57576.0,,46390.0,57576.0
568,University of Oklahoma Health Sciences Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
571,University of Wisconsin–Milwaukee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
577,Montana State University - Bozeman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
581,College of William & Mary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
590,SUNY Downstate Medical Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
598,"University of Nevada, Reno",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
601,University of Montana - Missoula,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
603,University of Arkansas for Medical Sciences,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14000,16125,12500,12500,,,,,,9122769,11335493,5825937,10463337,1800906,5467613,5770193,6042961,0.35-0.39,<=0.05,0.35-0.39,0.10-0.14,,,59564.0,65368.0,,59564.0,65368.0
622,University of Tennessee Health Science Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
637,Mississippi State University,13986.0,13799.0,18007.0,19558.0,19741.0,,,,,,,,,,,,,,,,13927.0,,,,15529.0,,19657.0,,,,,,24837.0,,8910.0,23950.0,,22500,16111,15000,15750,,,,,,118012697,119730951,47328596,60780621,20822963,43131407,81895272,82067611,0.24,0.06,0.27,0.09,,,38872.0,48440.0,,38872.0,48440.0
638,"University of Maryland, Baltimore County",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
640,Augusta University,8352.0,9816.0,12274.0,13836.0,14606.0,,,,,,,,,,,,,,,,8873.0,,,,11029.0,,14196.0,,,,,,18844.0,,8832.0,24210.0,,21385,14360,12803,12500,,,,,,52717524,48967130,23839966,26018468,10069656,16663127,27308607,26827871,0.24,0.04,0.25,0.07,,,43735.0,50126.0,,43735.0,50126.0
648,University of Texas at San Antonio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
664,University of Idaho,10877.0,11735.0,13528.0,17509.0,18844.0,,,,,,,,,,,,,,,,11258.0,,,,12688.0,,18199.0,,,,,,21126.0,,8304.0,27540.0,,22425,17251,16029,15000,,,,,,71655815,78904275,33305977,48099682,19465183,47217564,38209121,39200047,0.31,0.09,0.32,0.11,,,36808.0,49248.0,,36808.0,49248.0
665,University of Louisiana at Lafayette,9621.0,10726.0,13353.0,15202.0,16080.0,,,,,,,,,,,,,,,,9992.0,,,,11951.0,,15717.0,,,,,,22107.0,,10382.0,24110.0,,22000,14250,14250,14500,,,,,,71621849,72052188,35475724,46990486,32270021,52770932,60188988,59670583,0.26,0.05,0.26,0.07,,,40697.0,47300.0,,40697.0,47300.0
668,Rutgers University–Newark,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
676,University of Akron,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
680,University of Rhode Island,14309.0,15509.0,19326.0,23709.0,27235.0,,,,,,,,,,,,,,,,14694.0,,,,17569.0,,26016.0,,,,,,29865.0,,14566.0,31686.0,,22214,16000,17813,18500,,,,,,79766421,102014558,27409355,52457254,12795997,46623713,76986797,83237003,0.41,0.09,0.42,0.13,,,45694.0,57354.0,,45694.0,57354.0
681,"University of North Texas, Denton",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
686,Kent State University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
705,City College of New York,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
726,Northern Illinois University,15281.0,15861.0,18346.0,21425.0,23363.0,,,,,,,,,,,,,,,,15475.0,,,,17071.0,,22554.0,,,,,,28722.0,,14610.0,14610.0,,22500,18996,17742,16000,,,,,,160053184,175530034,61029059,103013067,20555436,54733271,103204300,106121255,0.31,0.08,0.32,0.11,,,43293.0,54063.0,,43293.0,54063.0
728,University of Missouri–Kansas City,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
742,Southern Illinois University Carbondale,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
745,"University of Nevada, Las Vegas",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
749,Illinois Institute of Technology,,,,,,17222.0,18720.0,22542.0,24888.0,28677.0,,,,,,,,,,,,17841.0,,,,20481.0,,27170.0,,,,,63212.0,,49280.0,49280.0,,24250,21229,19000,18750,,,,,,12421259,19223390,3702423,10374406,3663173,9211000,11497951,13354427,0.39-0.40,0.17-0.18,0.45-0.46,0.19-0.20,,,63728.0,75646.0,,63728.0,75646.0
750,Miami University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
756,Old Dominion University,12017.0,13747.0,16958.0,20208.0,22293.0,,,,,,,,,,,,,,,,12633.0,,,,15309.0,,21409.0,,,,,,24935.0,,10680.0,30840.0,,24697,17658,17400,15250,,,,,,167767529,170552324,69367391,83944063,42458444,77207165,100112454,100207222,0.25,0.05,0.27,0.07,,,42626.0,51100.0,,42626.0,51100.0
758,University of Texas Rio Grande Valley,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
764,University of Toledo,14516.0,15153.0,17332.0,19504.0,20830.0,,,,,,,,,,,,,,,,14749.0,,,,16285.0,,20217.0,,,,,,24920.0,,10650.0,20010.0,,21852,14250,13500,14000,,,,,,146833006,152018141,73658746,90224613,60444902,92389193,69176323,70793201,0.27,0.09,0.28,0.11,,,46234.0,53605.0,,46234.0,53605.0
769,New Mexico State University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
772,University of North Carolina at Charlotte,11991.0,12223.0,16299.0,19973.0,21473.0,,,,,,,,,,,,,,,,12092.0,,,,14393.0,,20832.0,,,,,,22323.0,,6905.0,20339.0,,21668,17846,16500,16000,,,,,,156060049,169556694,57874560,84073544,31718353,58076651,127053287,130193834,0.27,0.07,0.30,0.09,,,42089.0,52327.0,,42089.0,52327.0
802,Ohio University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
814,Portland State University,11198.0,11440.0,13599.0,17077.0,19996.0,,,,,,,,,,,,,,,,11291.0,,,,12447.0,,18460.0,,,,,,20613.0,,9579.0,28410.0,,21000,18166,14197,14000,,,,,,228798796,227300884,94173768,114464139,23236497,53008431,104208353,104748867,0.25,0.06,0.26,0.08,,,37970.0,50330.0,,37970.0,50330.0
828,Uniformed Services University of the Health Sciences,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
829,University of Denver,,,,,,19659.0,20735.0,27530.0,31512.0,41414.0,,,,,,,,,,,,20126.0,,,,24381.0,,38857.0,,,,,66983.0,,52515.0,52515.0,,20948,15401,18115,18250,,,,,,25623824,33017510,10069802,19245745,5766076,17658839,17847397,20296460,0.39,0.13,0.42,0.15,,,46454.0,63433.0,,46454.0,63433.0
834,East Carolina University,11026.0,12195.0,15784.0,19933.0,21104.0,,,,,,,,,,,,,,,,11484.0,,,,13994.0,,20591.0,,,,,,21598.0,,7238.0,23515.0,,23311,19000,18500,16750,,,,,,144524363,158659144,63797067,92610361,20122984,50896019,127666507,129101410,0.25,0.06,0.28,0.08,,,39667.0,49488.0,,39667.0,49488.0
842,Binghamton University,12686.0,15226.0,20062.0,20907.0,25490.0,,,,,,,,,,,,,,,,13550.0,,,,17644.0,,24011.0,,,,,,26712.0,,10201.0,27791.0,,18750,16250,15000,15000,,,,,,51485544,74894286,24535317,46983658,10308775,39269893,56110945,63913773,0.37,0.15,0.37,0.21,,,44075.0,68682.0,,44075.0,68682.0
854,Michigan Technological University,8295.0,9049.0,13720.0,17908.0,23334.0,,,,,,,,,,,,,,,,8580.0,,,,12154.0,,20868.0,,,,,,29126.0,,15960.0,35196.0,,25500,20000,20000,20500,,,,,,25716843,42169648,8776049,25825317,3138029,18313816,26787467,31339875,0.43,0.15,0.46,0.20,,,66615.0,77290.0,,66615.0,77290.0
859,New Jersey Institute of Technology,12853.0,15169.0,19960.0,25132.0,26965.0,,,,,,,,,,,,,,,,13721.0,,,,17525.0,,26348.0,,,,,,31388.0,,17674.0,33386.0,,21500,18291,16500,17000,,,,,,29756565,42123583,9749836,19922135,2405525,10361411,32863945,36536403,0.41,0.13,0.41,0.18,,,64152.0,77947.0,,64152.0,77947.0
861,Creighton University,,,,,,24458.0,28108.0,28383.0,30636.0,33821.0,,,,,,,,,,,,25926.0,,,,28292.0,,33070.0,,,,,54561.0,,41400.0,41400.0,,24369,23000,22208,19500,,,,,,21562253,31571219,8159629,19780091,5070438,15823524,23132504,25608687,0.32,0.12,0.33,0.18,,,55037.0,66430.0,,55037.0,66430.0
870,Wesleyan University,,,,,,3967.0,7740.0,12629.0,19821.0,46243.0,,,,,,,,,,,,6222.0,,,,9968.0,,39298.0,,,,,72639.0,,57334.0,57334.0,,15500,9311,13500,15500,,,,,,5264976,9735108,3101817,10203273,2427465,10751144,6281333,8026113,0.51-0.52,0.21-0.22,0.47-0.48,0.25-0.26,,,39556.0,58985.0,,39556.0,58985.0
878,"University of California, Merced",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
884,Northern Arizona University,9251.0,9799.0,12675.0,16535.0,18652.0,,,,,,,,,,,,,,,,9474.0,,,,11209.0,,17657.0,,,,,,27129.0,,11896.0,26516.0,,19375,12500,12500,13000,,,,,,168868721,183200958,64729056,79614069,34922594,69124663,114320423,118725602,0.31,0.08,0.32,0.10,,,41673.0,49995.0,,41673.0,49995.0
911,Florida Institute of Technology,,,,,,26604.0,27860.0,30323.0,32188.0,35539.0,,,,,,,,,,,,27090.0,,,,29189.0,,34416.0,,,,,58726.0,,42470.0,42470.0,,27000,12125,16625,17907,,,,,,62334963,61985599,9075233,16007343,3394608,9354602,23719225,24360230,0.20-0.29,<=0.10,0.25-0.29,0.10-0.14,,,62925.0,70680.0,,62925.0,70680.0
921,North Dakota State University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
933,University of Alabama in Huntsville,13010.0,13580.0,16306.0,17552.0,19231.0,,,,,,,,,,,,,,,,13212.0,,,,15045.0,,18462.0,,,,,,23917.0,,11122.0,23518.0,,21450,14126,14639,13500,,,,,,43668318,45880518,19384074,25484599,9188066,15892026,21714780,22790951,0.29,0.10,0.30,0.11,,,57386.0,67695.0,,57386.0,67695.0
934,Rochester Institute of Technology,,,,,,27095.0,27289.0,28684.0,32287.0,40396.0,,,,,,,,,,,,27170.0,,,,28079.0,,37715.0,,,,,56977.0,,45890.0,45890.0,,27000,22766,23250,20893,,,,,,76527887,121154081,27978238,69528391,15394575,59281051,64781574,76366424,0.45,0.14,0.47,0.19,,,60248.0,69774.0,,60248.0,69774.0
938,University of Massachusetts Boston,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
942,San Francisco State University,11123.0,12517.0,16661.0,21027.0,23892.0,,,,,,,,,,,,,,,,11618.0,,,,14508.0,,22739.0,,,,,,24839.0,,7266.0,19146.0,,15369,12500,12500,12934,,,,,,127685375,152170225,70254689,97522271,42027757,91451925,82083953,87240370,0.37,0.10,0.40,0.13,,,40693.0,58291.0,,40693.0,58291.0
946,Howard University,,,,,,37757.0,39858.0,42870.0,44482.0,44624.0,,,,,,,,,,,,38437.0,,,,41460.0,,44567.0,,,,,44651.0,,27206.0,27206.0,,25000,19316,19594,18530,,,,,,82571650,72375181,54434862,48515058,41282890,45732559,41015692,38708452,0.14,0.02,0.15,0.03,,,38139.0,55757.0,,38139.0,55757.0
961,University of Memphis,10256.0,12264.0,15287.0,18061.0,18020.0,,,,,,,,,,,,,,,,10906.0,,,,13572.0,,18040.0,,,,,,23176.0,,9912.0,13752.0,,24250,17500,16209,14908,,,,,,205922523,182229913,105155181,96359001,43195642,56300348,98265276,94803560,0.19,0.04,0.19,0.06,,,39112.0,46400.0,,39112.0,46400.0
962,Hunter College,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
972,Amherst College,,,,,,6079.0,4423.0,8219.0,24193.0,45700.0,,,,,,,,,,,,5301.0,,,,6084.0,,38458.0,,,,,73966.0,,58640.0,58640.0,,13800,6250,10945,15008,,,,,,2004591,3533679,579081,2279147,604873,3760328,2154577,2811923,0.45-0.49,0.20-0.24,0.40-0.49,0.30-0.39,,,43914.0,70140.0,,43914.0,70140.0
975,New York Medical College,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PS,PS,PS,PS,,,,,,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,,,63429.0,87167.0,,63429.0,87167.0
976,Missouri University of Science and Technology,10755.0,10660.0,13058.0,16060.0,17371.0,,,,,,,,,,,,,,,,10718.0,,,,12058.0,,16854.0,,,,,,22211.0,,9936.0,27484.0,,23750,18500,19738,17750,,,,,,23411948,41191923,7376318,21643169,4505853,18400798,27676553,31995678,0.37,0.16,0.40,0.22,,,70668.0,80790.0,,70668.0,80790.0
979,Eastern Virginia Medical School,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PS,PS,PS,PS,,,,,,PS,PS,PS,PS,69060,190809,PS,PS,PS,PS,PS,PS,,,59769.0,95704.0,,59769.0,95704.0
980,University of North Carolina at Greensboro,8853.0,10808.0,14166.0,19076.0,19841.0,,,,,,,,,,,,,,,,9549.0,,,,12290.0,,19454.0,,,,,,20401.0,,7403.0,22562.0,,23000,16250,17117,15250,,,,,,123095263,121825697,55819185,68819179,14236448,31444117,87394559,86808380,0.23,0.05,0.26,0.06,,,34664.0,42944.0,,34664.0,42944.0
992,University of Massachusetts Lowell,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
993,Loma Linda University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20082,21000,20000,15000,,,,,,11074982,17153422,4861708,12062927,3941332,13964642,12321620,13585639,0.41-0.42,0.09-0.10,0.45-0.46,0.11-0.12,,,80550.0,87464.0,,80550.0,87464.0
