,INSTNM,COSTT4_A,GRAD_DEBT_MDN,PCT75_EARN_WNE_P8,PCT25_EARN_WNE_P8,MD_EARN_WNE_P10,NationalRank
135,Florida Institute of Technology,58508.0,26895,66997.0,22625.0,63704.0,136
136,University of Alabama in Huntsville,23441.0,21607,73997.0,29122.0,54361.0,137
137,Rochester Institute of Technology,54334.0,27000,92195.0,37939.0,66280.0,138
138,University of Massachusetts-Boston,23356.0,23041,83719.0,34415.0,56060.0,139
139,San Francisco State University,24434.0,16010,81438.0,35022.0,60126.0,140
140,Howard University,43201.0,25000,71230.0,30264.0,56236.0,141
141,University of Memphis,22676.0,25000,58368.0,25544.0,43699.0,142
142,Amherst College,71300.0,13500,117651.0,40980.0,71567.0,143
143,Missouri University of Science and Technology,22012.0,24250,91060.0,43854.0,80289.0,144
144,University of North Carolina at Greensboro,19779.0,22695,55495.0,28133.0,44195.0,145
145,University of Massachusetts-Lowell,28201.0,25000,83011.0,33260.0,65584.0,146
